,code,value
497,gb_amwd,1461577487.0
498,gb_bam,41832401555.0
499,gb_fe,17706209405.0
501,gb_wen,4387869690.0
503,gb_fmo,452579016.0
504,gb_hban,17789090574.0
505,gb_bjri,1402532800.0
506,gb_idcc,2835111600.0
507,gb_noc,51840639375.0
508,gb_casy,4231328449.0
509,gb_tu,22236760000.0
510,gb_fcco,196590620.0
511,gb_orly,26734880677.0
512,gb_keg,262369303.0
513,gb_tph,2164864679.0
514,gb_zion,10547260160.0
515,gb_spg,56082811165.0
516,gb_gwr,5295484378.0
517,gb_sui,8175653369.0
518,gb_gt,5792664807.0
519,gb_cop,81950961120.0
521,gb_ofc,3155640727.0
522,gb_nx,600041616.0
523,gb_kirk,178278091.0
524,gb_saia,1988044006.0
525,gb_xom,333668133473.0
526,gb_hf,1746396119.0
527,gb_ir,24757840000.0
528,gb_bbby,2548982890.0
529,gb_abb,48476584102.0
530,gb_gpc,14598961779.0
531,gb_bap,17675722811.0
532,gb_san,80519406374.0
533,gb_egle,375050417.0
534,gb_len,16846243783.0
535,gb_ifn,689946816.0
536,gb_tei,491503616.0
537,gb_bud,192209776819.0
538,gb_bkd,1589142673.0
539,gb_hes,18868369009.0
540,gb_mtg,4526875000.0
541,gb_asa,170136918.0
542,gb_pnr,7589558000.0
543,gb_sify,318058671.0
544,gb_ftk,120648400.0
545,gb_vly,3977448300.0
546,gb_drrx,205742098.0
548,gb_isrg,59733432000.0
549,gb_caas,124971664.0
551,gb_expd,12943636889.0
552,gb_g,5832992593.0
553,gb_rf,21708177411.0
554,gb_hei,10483410142.0
555,gb_eqix,34850739886.0
556,gb_fbr,10773257848.0
557,gb_bgr,429186067.0
558,gb_snmx,56072401.0
559,gb_z,8643549020.0
560,gb_ocn,573145179.0
561,gb_awr,2235233840.0
562,gb_evep,6334029.0
563,gb_aehr,54199210.0
564,gb_pir,154226380.0
565,gb_deck,3622718010.0
566,gb_cco,1710967155.0
567,gb_ssw,1046130880.0
568,gb_cs,37893650407.0
569,gb_syy,39141839397.0
570,gb_cvco,2121704799.0
571,gb_tkr,3689581721.0
572,gb_ftr,606291300.0
573,gb_jmba,203171614.0
574,gb_ssi,58944960.0
575,gb_emn,13860238398.0
576,gb_glad,266923168.0
577,gb_nbr,2176882680.0
578,gb_mod,874575000.0
579,gb_cmg,14344039000.0
580,gb_exc,42755160000.0
581,gb_blk,76000646502.0
583,gb_dxyn,27145621.0
584,gb_hsic,12514430407.0
585,gb_clf,2898047729.0
587,gb_cw,5824465145.0
588,gb_sjt,273127544.0
589,gb_csco,217367101767.0
590,gb_sjr,10435032557.0
591,gb_htht,2232441645.0
593,gb_jeq,110326184.0
594,gb_gbx,1860639800.0
595,gb_iiji,871663295.0
596,gb_stz,39780574000.0
597,gb_wd,1665979800.0
598,gb_aos,10064609429.0
599,gb_fcx,20459880000.0
600,gb_pets,792726479.0
601,gb_ssri,1142305280.0
602,gb_cnsl,851468283.0
603,gb_flir,8417948280.0
604,gb_cprt,14323189284.0
605,gb_rnp,951809667.0
606,gb_prlb,3801262316.0
608,gb_olbk,583738019.0
609,gb_nxtm,1877577011.0
610,gb_home,2121286516.0
612,gb_lng,15297846000.0
613,gb_stng,683157783.0
614,gb_xrx,6951522224.0
615,gb_yum,26831090000.0
616,gb_ccm,155272659.0
617,gb_thc,3346272775.0
618,gb_teo,2229151517.0
619,gb_iif,380999796.0
620,gb_bksc,114550328.0
621,gb_gfa,1164236000.0
622,gb_lulu,18734723600.0
624,gb_fti,12962716000.0
625,gb_ccoi,2445273704.0
626,gb_mck,26100077361.0
627,gb_gcbc,294981473.0
628,gb_cma,16966265282.0
629,gb_fls,6724733520.0
630,gb_cmi,23742186999.0
631,gb_apf,221371800.0
632,gb_cdw,13024455000.0
633,gb_ll,495359850.0
634,gb_rail,225844019.0
635,gb_hwcc,140474731.0
637,gb_vlo,48583157994.0
638,gb_mat,5262818000.0
639,gb_bby,22305780000.0
640,gb_sci,7584809839.0
641,gb_boh,3543478357.0
642,gb_f,39560400000.0
643,gb_twi,445304690.0
644,gb_clb,4964499128.0
645,gb_tol,5274236720.0
646,gb_tal,11711016478.0
647,gb_dlb,6966579600.0
648,gb_ttgt,642573318.0
649,gb_xl,14740124407.0
650,gb_twer,86767.0
651,gb_dpz,11913283081.0
652,gb_pkg,10608570000.0
653,gb_tzoo,160759800.0
654,gb_clct,119011200.0
655,gb_lad,2141063790.0
656,gb_senea,309386986.0
657,gb_etn,35248955000.0
658,gb_lcut,248891964.0
659,gb_vno,14596958440.0
660,gb_dan,2886556480.0
661,gb_etp,27048816000.0
662,gb_cpf,846656579.0
663,gb_bte,676853320.0
664,gb_fr,4207870409.0
665,gb_npk,944532666.0
666,gb_wf,9766921251.0
667,gb_gd,57751176725.0
668,gb_fcnca,5581835723.0
669,gb_pfo,148111449.0
670,gb_prov,135069953.0
671,gb_lvs,51716440000.0
672,gb_mar,43378280000.0
673,gb_ltc,1814093950.0
674,gb_has,12687891606.0
675,gb_nmm,338531323.0
676,gb_mbtf,260859944.0
677,gb_intc,216689988096.0
678,gb_abx,11834992260.0
679,gb_holx,10387896080.0
681,gb_igr,872093200.0
682,gb_cah,16353000000.0
683,gb_txn,107036931600.0
684,gb_cf,11395480975.0
685,gb_drad,35711789.0
687,gb_sonc,1269510120.0
688,gb_ocfc,1403601345.0
689,gb_ptr,135270821100.0
690,gb_car,2780800000.0
691,gb_crzo,1871230927.0
692,gb_expr,792623040.0
693,gb_sm,3157440753.0
694,gb_club,259671843.0
695,gb_tnp,287716775.0
696,gb_fast,17257084894.0
697,gb_msf,218806767.0
698,gb_jblu,6025424861.0
699,gb_pm,131477073953.0
700,gb_hig,18627516465.0
701,gb_bhp,128576581900.0
703,gb_rushb,1724084916.0
704,gb_wy,26888871907.0
705,gb_hurc,279214956.0
706,gb_nr,912062112.0
707,gb_wcg,13162474783.0
708,gb_cvti,562401408.0
709,gb_cycc,17996170.0
710,gb_sap,144594450000.0
711,gb_tjx,63551853235.0
712,gb_sptn,724070100.0
713,gb_wire,1066433920.0
714,gb_bbl,224982800000.0
715,gb_rqi,1376520210.0
716,gb_scor,1098114834.0
717,gb_hrc,6357563022.0
718,gb_ben,17508132298.0
720,gb_bid,2425297924.0
721,gb_lyb,44495230829.0
722,gb_cog,10583821212.0
723,gb_e,133870013329.0
724,gb_pnbk,77311034.0
725,gb_lub,67203440.0
727,gb_cry,1176876000.0
728,gb_bbx,700813036.0
730,gb_cbd,3419371864.0
731,gb_too,1009374843.0
732,gb_nnn,7207417373.0
733,gb_apa,16074758116.0
734,gb_itw,46375963189.0
735,gb_pgh,405072452.0
736,gb_bgs,2162579144.0
737,gb_pfg,15852220000.0
738,gb_ngg,184763473280.0
739,gb_key,23021445929.0
740,gb_rtn,57168340000.0
741,gb_dac,164698500.0
742,gb_irbt,2666214600.0
743,gb_optt,13555829.0
745,gb_nsc,48968804830.0
746,gb_jnpr,9846092000.0
747,gb_gpk,4441020293.0
748,gb_tco,3927288530.0
749,gb_labl,1258393000.0
751,gb_tsm,207961647600.0
752,gb_cxdc,170978285.0
753,gb_irl,53853041.0
754,gb_ggt,215808448.0
755,gb_ande,1165118300.0
756,gb_sr,3881085000.0
757,gb_mcd,126947421240.0
758,gb_flic,556505725.0
760,gb_slb,87891550848.0
761,gb_tm,198464700000.0
762,gb_urbn,5162944386.0
763,gb_mmi,1478825352.0
764,gb_igt,4120920050.0
765,gb_npo,1553407246.0
766,gb_rdnt,656674980.0
767,gb_abc,19145400386.0
768,gb_vod,61082113500.0
769,gb_tds,3435040000.0
771,gb_unfi,1763921770.0
772,gb_stt,31230702553.0
773,gb_pso,9608850000.0
774,gb_mas,11791299999.0
775,gb_fosl,1217686520.0
776,gb_csx,63354454789.0
777,gb_nna,80132529.0
778,gb_gf,291619380.0
779,gb_hvt,467704160.0
780,gb_hun,7628038230.0
781,gb_ibkr,25346223000.0
782,gb_asg,178947616.0
783,gb_psti,140802130.0
784,gb_endp,3562722656.0
785,gb_tbbk,543396566.0
786,gb_pwe,635076529.0
788,gb_avt,5561919477.0
789,gb_mlp,255022046.0
790,gb_hsc,2101997742.0
