,_id,amount,classtype,close,date,high,low,market,open,stock_code,time,volume
770,5b4467cfae17be1640a69d6e,1155078,kline_min1,12.3,2018-06-08,12.33,12.23,0,12.23,002499,931,94200
772,5b44680aae17be1640a6ec16,1819973,kline_min1,7.37,2018-06-08,7.41,7.36,0,7.4,002500,931,246300
773,5b44680aae17be1640a7474d,423824,kline_min1,7.24,2018-06-08,7.25,7.23,0,7.23,002501,931,58600
777,5b44680aae17be1640a7f17a,244608,kline_min1,3.92,2018-06-08,3.95,3.92,0,3.92,002503,931,62300
779,5b44680aae17be1640a84b5d,861625,kline_min1,4.34,2018-06-08,4.34,4.31,0,4.31,002504,931,199700
780,5b44680bae17be1640a89fa6,365903,kline_min1,2.3,2018-06-08,2.31,2.3,0,2.31,002505,931,158400
782,5b44680bae17be1640a8f9a3,2658428,kline_min1,5.3,2018-06-08,5.33,5.27,0,5.27,002506,931,502700
784,5b44680bae17be1640a956c8,1883638,kline_min1,27.82,2018-06-08,28.0,27.82,0,28.0,002507,931,67500
786,5b44680cae17be1640a9a7f1,9134373,kline_min1,35.87,2018-06-08,35.88,35.72,0,35.72,002508,931,255400
788,5b44680cae17be1640aa0366,2186983,kline_min1,3.36,2018-06-08,3.37,3.35,0,3.35,002509,931,651100
791,5b446846ae17be1640aa59b7,2447280,kline_min1,5.31,2018-06-08,5.32,5.3,0,5.32,002510,931,460800
793,5b446847ae17be1640aab4dc,538134,kline_min1,10.15,2018-06-08,10.2,10.15,0,10.2,002511,931,52800
794,5b446847ae17be1640ab0090,1380447,kline_min1,10.23,2018-06-08,10.31,10.21,0,10.31,002512,931,134300
796,5b446847ae17be1640ab5ead,65183,kline_min1,8.26,2018-06-08,8.26,8.24,0,8.25,002513,931,7900
797,5b446847ae17be1640abaf4e,22234,kline_min1,5.74,2018-06-08,5.74,5.7,0,5.7,002514,931,3900
800,5b446848ae17be1640ac042d,3361824,kline_min1,7.63,2018-06-08,7.68,7.6,0,7.6,002515,931,440700
801,5b446848ae17be1640ac5d69,64579,kline_min1,4.0,2018-06-08,4.02,4.0,0,4.01,002516,931,16100
803,5b446848ae17be1640acb648,6366441,kline_min1,13.61,2018-06-08,13.65,13.59,0,13.59,002517,931,467300
804,5b446848ae17be1640ad0ed6,1429166,kline_min1,11.19,2018-06-08,11.21,11.12,0,11.21,002518,931,127600
805,5b446849ae17be1640ad6903,306266,kline_min1,5.46,2018-06-08,5.46,5.45,0,5.46,002519,931,56100
809,5b446885ae17be1640adda35,132400,kline_min1,6.78,2018-06-08,6.82,6.78,0,6.82,002521,931,19500
811,5b446885ae17be1640ae2e3c,107430,kline_min1,10.13,2018-06-08,10.18,10.11,0,10.13,002522,931,10600
813,5b446885ae17be1640ae8557,83712,kline_min1,3.5,2018-06-08,3.52,3.5,0,3.52,002523,931,23800
815,5b446885ae17be1640aed5ea,238725,kline_min1,5.71,2018-06-08,5.75,5.71,0,5.75,002524,931,41600
817,5b446886ae17be1640af200f,145569,kline_min1,3.4,2018-06-08,3.41,3.4,0,3.41,002526,931,42800
819,5b446886ae17be1640af759a,4252812,kline_min1,8.08,2018-06-08,8.09,8.04,0,8.04,002527,931,527500
821,5b446886ae17be1640afcbc9,144560,kline_min1,4.22,2018-06-08,4.23,4.22,0,4.23,002528,931,34200
822,5b446887ae17be1640b07a4b,552991,kline_min1,12.31,2018-06-08,12.59,12.31,0,12.59,002530,931,44300
826,5b4468c1ae17be1640b0d1d3,524646,kline_min1,5.11,2018-06-08,5.11,5.04,0,5.04,002531,931,103500
828,5b4468c1ae17be1640b177e9,33356,kline_min1,5.38,2018-06-08,5.38,5.38,0,5.38,002533,931,6200
